eig
   ;eigenvalue;percentage of variance;cumulative percentage of variance;
113;0.0259;0.0301;0.1189;0.7304;1.0861;
114;2.4153;0.0016;0.0318;0.0833;0.1918;
115;0.002;0.306;1.8107;0.9311;0.0139;
116;0.266;0.0107;2.473;0.5418;0.014;
117;0.1176;0.2781;0.5957;0;2.0592;
118;0.0034;0.1842;0.4905;1.5278;0.0615;
119;0.1965;1.5424;0.2595;0.2323;0.1239;
120;0.8558;0.4311;0.4417;5.3733;0.0452;
121;0.3937;0.4851;1.3504;0.3834;0.074;
122;0.3035;0.0157;0.1052;0.0441;0.5192;
123;0.3271;0.1523;0.7385;0.629;0.5281;
124;8e-04;0.9426;0.0732;0.3732;0.9591;
125;0.7691;0.5999;0.0207;1.5522;3.6297;
126;0.7489;0.2957;0.4897;0.1555;0.0324;
127;0.9138;0.1786;0.3405;0.094;0.2335;
128;0.7193;0.6677;4e-04;0.1475;0.028;
129;0.4246;0.9317;0.1773;0.5257;0.3901;
130;0.3422;0.1024;1.724;1.2923;0.6367;
131;0.9664;0.8436;1.3141;2.623;0.0158;
132;0.239;1.3399;3.7192;1.0212;0.0061;
133;0.0922;0.43;0.6483;0.1399;0.2345;
134;1.2334;0.5318;0.8392;0.2674;0.0307;
135;0.0511;0.0296;3.3777;0.0849;0.0776;
136;0.0439;0.5596;1.2532;0.8892;0.35;

dist
3.890978;3.125577;4.720338;3.749187;4.74312;3.750891;7.330858;2.872022;4.126944;4.205441;3.117797;4.532952;3.687486;3.877381;3.77185;4.995406;4.681733;4.732503;4.776081;3.995367;3.75206;3.0274;3.359808;4.027691;2.8952;3.126028;2.286149;3.181735;4.168731;3.75083;4.110281;4.913601;2.196371;2.220463;2.764982;3.617693;2.821496;3.708966;4.336446;3.212173;1.821778;4.544393;4.387484;5.790363;3.113303;3.180811;4.588668;5.430893;3.863613;4.253644;3.547465;4.232056;2.830107;3.264706;2.820586;3.932313;3.912411;6.398255;5.002163;2.777357;2.995002;3.302451;4.432604;3.003662;4.039827;5.302052;3.526974;3.769494;7.182605;3.080941;3.779365;3.003111;3.915224;4.172387;3.593059;2.797774;2.691567;4.280837;3.618113;4.277088;3.707639;6.540231;6.483864;7.673;4.988369;5.517702;8.773824;6.859458;4.799682;9.199365;4.428594;6.141012;5.92073;2.955652;7.875459;4.959514;4.049186;3.937438;7.158509;3.143002;3.115222;5.106709;5.409912;2.746895;2.828008;3.299299;6.882941;3.027094;3.35423;4.432755;3.6876;2.925753;2.518561;4.975144;3.310085;4.359253;3.014084;3.091508;3.402073;5.130201;3.687729;2.850563;3.496466;3.287055;4.813456;3.58594;3.451042;3.499624;4.505863;4.806178;5.629408;5.530253;2.8296;4.734917;4.037426;3.588525;
svd
vs
2.555518;1.745346;1.576296;1.152756;1.021692;0.9378463;0.8534736;0.7494162;0.6621164;0.6382543;0.5401269;0.5266502;0.4798413;0.4596251;0.4099492;0.3476595;0.3198135;0.2980623;0.2442854;
U
   ;
;1.1724;-0.5692;-0.1509;-0.1394;0.2618;
;0.9762;-0.7034;-0.0362;5e-04;-0.0133;
;1.437;-0.1406;-0.8931;-0.1299;0.1953;
;0.3582;-1.7519;-0.1275;-0.0922;-0.6852;
;-0.3645;-2.2449;-0.813;-0.4659;-0.222;
;-0.2869;-1.7121;-0.5301;0.6638;-1.0611;
;-1.7233;-2.834;-0.9015;-0.24;1.8774;
;0.549;-1.0713;-0.0649;0.5349;0.1554;
;-0.6192;-2.0604;-0.1422;0.135;0.1346;
;1.3524;-0.8648;-0.3575;0.6459;-0.6776;
;0.0409;-1.3112;0.3568;-0.9672;-0.5511;
;1.1888;-1.0583;-0.8135;-0.7118;-0.01;
;-0.223;-1.0446;0.7293;-1.9886;0.8043;
;1.2241;-0.2191;0.2508;0.2142;-0.2433;
;0.9587;-0.548;-1.0607;-0.9668;0.4561;
;1.8234;0.1237;0.3573;-0.2602;0.4878;
;0.4397;1.7222;0.4479;-0.4585;-0.1597;
;-0.4495;0.7914;1.8958;-2.1127;0.7305;
;0.0247;-2.172;-0.9934;-0.4661;-1.1925;
;-0.6374;1.0019;0.8715;-1.4264;-0.4732;
;0.3;-1.3623;-0.264;-1.1252;-1.5449;
;-0.0473;0.2751;-1.2713;-0.8646;-0.6574;
;-0.7089;1.058;-0.2576;-0.1533;-0.4972;
;0.5493;0.8593;-1.4231;-0.1707;0.8052;
;-0.514;0.0977;-1.1726;0.2115;-0.6177;
;-0.9634;0.2929;-0.2198;0.3977;-1.255;
;0.1125;0.7476;-0.5346;-0.2475;0.4025;
;-0.3858;0.661;-0.724;0.3566;-1.2828;
;-0.4091;0.9148;-0.4763;-0.032;-1.1139;
;1.0286;0.8773;-0.8259;-0.5998;0.1295;
;-0.8338;1.2319;-0.9603;-0.123;0.6956;
;0.988;2.0004;-0.6664;-0.3738;1.4927;
;0.0782;0.3604;0.1212;0.2766;-0.7664;
;0.238;-0.6249;-0.4148;0.5548;-1.0327;
;-0.3827;0.8869;-0.2729;-0.3286;-1.1013;
;0.8678;1.0385;-0.281;0.742;0.4055;
;0.8294;0.4838;-0.6051;0.5228;0.1434;
;-0.7697;0.1782;0.2967;-0.0977;-0.6566;
;0.1704;1.0777;-0.46;0.687;-0.1656;
;0.6445;1.3682;-0.0459;0.5521;0.0253;
;0.4381;0.3086;-0.1091;-0.2637;-0.5695;
;0.9834;1.4981;-1.0867;0.3367;-0.208;
;1.1356;0.8133;-1.0536;0.3185;0.8135;
;0.0571;-0.0386;-2.2931;-2.0802;1.1191;
;-0.488;-0.9229;-0.4202;0.726;-0.0781;
;0.682;1.2124;-0.6753;0.4982;-0.3939;
;-0.9493;-0.4113;0.4214;0.2442;-0.6183;
;-0.0686;-1.6914;-2.1701;-0.206;-0.5498;
;0.0703;0.89;-0.6334;-0.2826;-1.6827;
;1.2899;0.8868;-0.3803;0.1219;0.5928;
;-0.3823;-0.2808;-0.6461;0.7375;-2.4922;
;-0.2214;-1.1934;-0.6861;0.163;-2.4569;
;-0.1693;0.6644;-0.2876;0.0291;-0.9911;
;0.1792;1.1578;-0.7051;0.625;-0.5752;
;-0.2635;1.0038;-0.1188;0.8264;-1.176;
;-0.4565;0.4447;-1.24;0.3854;-1.9335;
;0.9805;-0.2922;-0.3684;0.5596;0.4484;
;1.9386;1.5488;-1.1726;0.1302;1.04;
;0.1653;0.6751;-2.7348;-0.2128;0.899;
;0.3714;-0.0467;-0.7006;0.7429;-0.9453;
;-0.1103;-0.077;-0.2792;0.5819;-1.9018;
;-0.0898;0.6625;0.4317;1.7046;-1.1876;
;1.5286;0.1116;-1.0532;-0.1569;0.6989;
;-0.2401;0.2604;-0.0488;1.4295;-1.445;
;1.3771;0.5063;-0.6534;-0.3753;0.2316;
;0.8943;2.0356;-1.3097;-0.1911;-0.3855;
;0.5438;1.0972;-0.293;1.0029;-0.6516;
;0.8102;1.0051;-0.364;1.3261;-0.7508;
;1.0767;0.8686;-2.7305;-1.686;3.4208;
;0.2335;-0.4311;1.0607;1.5694;0.9551;
;-0.426;-0.3198;1.46;1.7058;1.0301;
;0.6827;-0.9478;0.3126;0.569;-0.0925;
;-0.558;-0.3679;1.2277;1.7878;1.6672;
;0.3626;-1.7482;0.8535;-1.307;0.4307;
;1.1571;0.1192;0.5886;0.479;0.8996;
;0.3492;-0.7281;0.8696;1.188;0.9609;
;0.0618;-0.9833;0.0727;0.4792;0.6372;
;-0.5202;0.6585;1.3884;2.0226;-0.4121;
;1.0332;-0.375;0.1238;0.8935;1.4415;
;-0.0824;-1.5909;-0.2605;1.3169;-0.3905;
;-0.247;-1.0343;0.763;0.6598;1.7628;
;-1.8624;1.0712;1.3543;0.8797;1.6332;
;-2.2117;-0.2403;-1.1675;0.8307;-0.9495;
;-2.5821;0.1387;-1.8362;1.611;0.5682;
;-1.611;0.3762;1.0631;-0.0346;-0.2331;
;-1.5524;-0.5668;0.3343;1.6599;1.8208;
;-2.8827;1.0423;-1.8993;-1.2949;1.3344;
;-2.3441;1.234;0.5374;0.1276;1.0713;
;-1.1002;1.1136;1.0345;0.9383;0.3073;
;-3.0712;-1.1224;-1.1211;-1.4055;1.2536;
;-1.0921;1.3597;0.1112;0.7148;0.8318;
;-1.8584;1.3566;0.1363;0.4535;1.4505;
;-1.7585;0.8536;-0.9092;1.2044;-0.8219;
;0.4595;-0.6979;0.577;1.4767;0.4225;
;-2.6682;-0.0964;-1.3163;1.2924;1.0104;
;-1.3032;-0.3499;0.2179;2.5622;-1.1816;
;0.5105;-0.5858;0.5935;1.6182;1.1936;
;1.0054;-0.335;1.1747;1.2325;1.2527;
;-1.7623;0.7338;-2.3799;-2.3305;1.2358;
;0.7403;-0.5971;1.1321;0.679;-0.2243;
;0.9159;-0.6884;0.1697;-0.2784;1.0306;
;-0.5883;-2.4782;-0.457;-0.7511;-0.7171;
;-0.5274;-1.329;0.6827;2.3566;2.6892;
;-0.346;-0.7277;0.9491;-0.2309;0.3071;
;0.7281;0.043;0.5141;1.0223;0.5756;
;0.5705;-0.007;0.8179;1.1461;0.9971;
;-1.4624;1.5118;1.7696;-1.9924;-0.3864;
;0.0231;-1.1723;0.5796;-0.5464;0.7201;
;0.3592;-1.1352;0.7376;-0.9409;0.6663;
;0.3047;-1.191;1.5635;-1.4344;0.8507;
;0.9986;0.189;1.3542;0.3673;-0.67;
;0.0872;-0.131;1.4861;-0.7041;0.3237;
;0.1878;0.2023;0.4022;-0.9967;-1.2153;
;1.8124;0.0474;0.2079;-0.3366;0.5107;
;-0.0521;0.6451;1.5693;-1.1253;-0.1377;
;-0.6014;0.1208;1.8339;-0.8584;-0.138;
;0.3999;0.615;0.9001;-0.0074;-1.6735;
;-0.0679;0.5005;0.8168;-1.4414;-0.2891;
;0.517;-1.4483;-0.5941;-0.562;-0.4105;
;-1.0788;-0.7657;0.775;-2.7033;0.2479;
;0.7317;0.8123;1.3552;-0.7221;0.3173;
;0.6425;0.1463;0.3783;0.2448;-0.8403;
;0.667;0.4552;1.0022;-0.9249;0.8475;
;-0.0323;-1.1322;0.3155;-0.7124;-1.1421;
;-1.0228;-0.9033;0.1676;-1.4529;-2.2218;
;1.0092;0.6341;0.8161;-0.4598;-0.2099;
;1.1148;0.4928;0.6805;-0.3576;-0.5636;
;0.9891;-0.9529;-0.0245;-0.4479;-0.195;
;0.7599;-1.1257;0.491;-0.8455;0.7283;
;-0.6822;0.3732;1.5312;-1.3257;-0.9305;
;-1.1464;1.0711;1.3368;-1.8887;-0.1466;
;-0.5701;1.3499;2.249;-1.1785;0.0911;
;0.354;0.7647;0.939;-0.4362;-0.5647;
;1.2952;-0.8504;-1.0683;-0.603;0.2043;
;-0.2635;-0.2007;2.1433;-0.3398;-0.325;
;-0.2444;0.8724;1.3055;-1.0997;-0.6899;

V
   ;
;0.2998;-0.0758;-0.0433;-0.1314;-0.1086;
;0.2564;0.1426;0.1338;-0.0966;0.2686;
;0.232;0.0286;-0.0285;0.2485;-0.4785;
;0.0959;0.1675;-0.2063;0.6507;0.253;
;0.2455;-0.2346;0.1632;0.1909;0.355;
;0.1156;0.0692;0.5187;0.0969;-0.095;
;0.2926;0.0359;-0.1908;-0.0496;-0.0784;
;0.3487;-0.0784;-0.0534;-0.1174;0.1362;
;-0.0675;0.5181;0.0298;-0.0652;0.1457;
;0.1523;-0.2939;0.3418;0.156;0.181;
;-0.0253;0.4268;0.3037;0.1517;0.0253;
;0.0908;-0.0155;0.5217;0.137;-0.2089;
;0.2599;0.0928;0.1443;-0.4496;-0.2712;
;0.2297;0.1804;-0.178;0.1197;-0.2123;
;0.1614;0.1233;-0.0285;-0.3341;0.4538;
;0.3022;0.1507;-0.0852;0.0661;0.0945;
;-0.1458;0.4785;0.1147;-0.0714;0.0275;
;0.2837;0.1785;-0.2147;0.125;-0.1661;
;0.3528;0.0281;0.0031;-0.0508;0.0572;

