eig
   ;eigenvalue;percentage of variance;cumulative percentage of variance;
6;-0.7333;-2.9881;-0.8356;0.7652;-1.0841;
7;-4.404;-4.9463;-1.421;-0.2767;1.9181;
8;1.4029;-1.8698;-0.1023;0.6166;0.1588;
9;-1.5824;-3.596;-0.2242;0.1556;0.1375;
10;3.456;-1.5094;-0.5635;0.7446;-0.6923;
11;0.1044;-2.2886;0.5624;-1.115;-0.563;
12;3.038;-1.8471;-1.2824;-0.8205;-0.0102;
13;-0.5698;-1.8233;1.1497;-2.2924;0.8218;
14;3.1281;-0.3825;0.3953;0.2469;-0.2486;
15;2.4501;-0.9564;-1.672;-1.1145;0.466;
16;4.6599;0.2159;0.5631;-0.2999;0.4984;
17;1.1236;3.0059;0.706;-0.5286;-0.1631;
18;-1.1487;1.3813;2.9883;-2.4355;0.7463;
19;0.0632;-3.7909;-1.566;-0.5373;-1.2184;
20;-1.6288;1.7487;1.3738;-1.6443;-0.4835;
21;0.7666;-2.3776;-0.4161;-1.2971;-1.5784;
22;-0.1208;0.4801;-2.0039;-0.9966;-0.6717;
23;-1.8117;1.8466;-0.406;-0.1767;-0.508;
24;1.4037;1.4998;-2.2432;-0.1968;0.8226;
25;-1.3135;0.1705;-1.8483;0.2438;-0.6311;
26;-2.462;0.5111;-0.3465;0.4584;-1.2822;
27;0.2874;1.3049;-0.8427;-0.2853;0.4112;
28;-0.9859;1.1536;-1.1412;0.411;-1.3107;
29;-1.0455;1.5966;-0.7507;-0.0369;-1.1381;
30;2.6287;1.5312;-1.3018;-0.6914;0.1323;
31;-2.1309;2.1501;-1.5137;-0.1418;0.7106;
32;2.5249;3.4913;-1.0505;-0.4309;1.5251;
33;0.1998;0.6289;0.1911;0.3189;-0.783;
34;0.6081;-1.0907;-0.6538;0.6395;-1.0551;
35;-0.9779;1.5479;-0.4301;-0.3789;-1.1252;
36;2.2177;1.8125;-0.443;0.8554;0.4142;
37;2.1196;0.8444;-0.9539;0.6026;0.1465;
38;-1.967;0.311;0.4677;-0.1126;-0.6708;
39;0.4354;1.881;-0.7251;0.7919;-0.1692;
40;1.647;2.388;-0.0723;0.6364;0.0258;
41;1.1197;0.5386;-0.172;-0.304;-0.5818;
42;2.513;2.6147;-1.713;0.3881;-0.2125;
43;2.902;1.4195;-1.6608;0.3671;0.8311;
44;0.146;-0.0674;-3.6146;-2.3979;1.1434;
45;-1.2471;-1.6108;-0.6623;0.8369;-0.0798;
46;1.7428;2.1161;-1.0644;0.5742;-0.4025;
47;-2.4258;-0.7179;0.6642;0.2815;-0.6317;
48;-0.1752;-2.952;-3.4207;-0.2375;-0.5618;
49;0.1795;1.5534;-0.9985;-0.3258;-1.7192;
50;3.2963;1.5478;-0.5995;0.1406;0.6057;
51;-0.9771;-0.4901;-1.0184;0.8502;-2.5463;
52;-0.5658;-2.0828;-1.0814;0.1879;-2.5102;
53;-0.4326;1.1597;-0.4534;0.0335;-1.0126;
54;0.4581;2.0207;-1.1115;0.7205;-0.5877;
55;-0.6734;1.752;-0.1873;0.9527;-1.2015;
56;-1.1666;0.7762;-1.9547;0.4443;-1.9754;
57;2.5056;-0.5101;-0.5807;0.6451;0.4582;
58;4.954;2.7032;-1.8484;0.1501;1.0626;
59;0.4225;1.1782;-4.3108;-0.2453;0.9185;
60;0.9492;-0.0814;-1.1043;0.8563;-0.9658;
61;-0.2819;-0.1344;-0.4401;0.6708;-1.943;
62;-0.2295;1.1563;0.6805;1.965;-1.2134;
63;3.9063;0.1949;-1.6601;-0.1809;0.7141;
64;-0.6135;0.4545;-0.0768;1.6479;-1.4763;
65;3.5192;0.8837;-1.03;-0.4326;0.2366;
66;2.2853;3.5528;-2.0644;-0.2203;-0.3939;
67;1.3898;1.915;-0.4618;1.1561;-0.6657;
68;2.0704;1.7542;-0.5737;1.5286;-0.767;
69;2.7515;1.5161;-4.304;-1.9435;3.4951;
70;0.5966;-0.7524;1.6719;1.8091;0.9758;
71;-1.0887;-0.5581;2.3014;1.9664;1.0525;
72;1.7448;-1.6542;0.4927;0.6559;-0.0945;
73;-1.4261;-0.6421;1.9352;2.0609;1.7034;
74;0.9266;-3.0512;1.3453;-1.5067;0.4401;
75;2.957;0.2081;0.9277;0.5522;0.9191;
76;0.8923;-1.2707;1.3708;1.3694;0.9817;
77;0.1579;-1.7163;0.1146;0.5523;0.651;
78;-1.3295;1.1493;2.1885;2.3316;-0.421;
79;2.6403;-0.6544;0.1952;1.0299;1.4727;
80;-0.2105;-2.7767;-0.4107;1.5181;-0.399;
81;-0.6313;-1.8053;1.2027;0.7605;1.8011;
82;-4.7593;1.8697;2.1348;1.0141;1.6686;
83;-5.6521;-0.4193;-1.8403;0.9577;-0.9701;
84;-6.5986;0.2421;-2.8944;1.8571;0.5805;
85;-4.1169;0.6565;1.6758;-0.0399;-0.2382;
86;-3.9671;-0.9893;0.5269;1.9134;1.8603;
87;-7.3669;1.8191;-2.9938;-1.4927;1.3634;
88;-5.9903;2.1537;0.8471;0.1471;1.0946;
89;-2.8115;1.9436;1.6307;1.0816;0.314;
90;-7.8485;-1.959;-1.7673;-1.6202;1.2808;
91;-2.7908;2.3731;0.1752;0.824;0.8498;
92;-4.7493;2.3677;0.2148;0.5228;1.4819;
93;-4.4939;1.4899;-1.4332;1.3884;-0.8397;
94;1.1742;-1.218;0.9095;1.7023;0.4317;
95;-6.8186;-0.1682;-2.0749;1.4898;1.0323;
96;-3.3304;-0.6107;0.3435;2.9536;-1.2073;
97;1.3045;-1.0224;0.9356;1.8654;1.2195;
98;2.5693;-0.5847;1.8517;1.4208;1.2798;
99;-4.5036;1.2807;-3.7515;-2.6865;1.2626;
100;1.8919;-1.0421;1.7846;0.7827;-0.2292;
101;2.3405;-1.2015;0.2675;-0.3209;1.053;
102;-1.5034;-4.3254;-0.7204;-0.8659;-0.7327;
103;-1.3478;-2.3196;1.0761;2.7166;2.7475;
104;-0.8841;-1.2701;1.4961;-0.2662;0.3138;
105;1.8606;0.075;0.8104;1.1784;0.5881;
106;1.4579;-0.0122;1.2892;1.3211;1.0188;
107;-3.7373;2.6387;2.7894;-2.2967;-0.3948;
108;0.0591;-2.0461;0.9136;-0.6298;0.7357;
109;0.918;-1.9812;1.1627;-1.0846;0.6808;
110;0.7788;-2.0787;2.4646;-1.6535;0.8692;
111;2.5521;0.3298;2.1346;0.4234;-0.6845;
112;0.2228;-0.2286;2.3425;-0.8117;0.3307;
113;0.48;0.3531;0.6339;-1.149;-1.2417;
114;4.6317;0.0827;0.3277;-0.388;0.5218;
115;-0.1332;1.126;2.4736;-1.2972;-0.1406;
116;-1.5369;0.2109;2.8908;-0.9896;-0.1409;
117;1.0219;1.0734;1.4187;-0.0086;-1.7098;
118;-0.1734;0.8736;1.2875;-1.6616;-0.2954;
119;1.3211;-2.5278;-0.9365;-0.6479;-0.4194;
120;-2.7569;-1.3364;1.2217;-3.1162;0.2533;
121;1.87;1.4177;2.1362;-0.8324;0.3242;
122;1.6419;0.2553;0.5963;0.2822;-0.8586;
123;1.7046;0.7944;1.5797;-1.0662;0.8659;
124;-0.0826;-1.9761;0.4972;-0.8212;-1.1669;
125;-2.6137;-1.5765;0.2642;-1.6749;-2.27;
126;2.579;1.1068;1.2864;-0.5301;-0.2144;
127;2.8488;0.8602;1.0727;-0.4122;-0.5758;
128;2.5276;-1.6632;-0.0386;-0.5164;-0.1992;
129;1.9419;-1.9647;0.7739;-0.9747;0.7441;
130;-1.7433;0.6514;2.4137;-1.5282;-0.9507;
131;-2.9297;1.8695;2.1073;-2.1772;-0.1498;
132;-1.4569;2.356;3.5451;-1.3585;0.0931;
133;0.9048;1.3347;1.4801;-0.5029;-0.577;
134;3.3098;-1.4843;-1.684;-0.6952;0.2088;
135;-0.6735;-0.3503;3.3785;-0.3917;-0.332;
136;-0.6245;1.5226;2.0579;-1.2677;-0.7049;

cos2
   ;Dim.1;Dim.2;Dim.3;Dim.4;Dim.5;
1;0.593;0.0652;0.0037;0.0017;0.0047;
2;0.6371;0.1543;3e-04;0;0;
3;0.6053;0.0027;0.0889;0.001;0.0018;
4;0.0596;0.6651;0.0029;8e-04;0.0349;
5;0.0386;0.6824;0.073;0.0128;0.0023;
6;0.0382;0.6347;0.0496;0.0416;0.0835;
7;0.3609;0.4553;0.0376;0.0014;0.0685;
8;0.2386;0.4238;0.0013;0.0461;0.0031;
9;0.147;0.7593;0.003;0.0014;0.0011;
10;0.6753;0.1288;0.018;0.0314;0.0271;
11;0.0011;0.5388;0.0325;0.1279;0.0326;
12;0.4492;0.166;0.08;0.0328;0;
13;0.0239;0.2445;0.0972;0.3865;0.0497;
14;0.6509;0.0097;0.0104;0.0041;0.0041;
15;0.4219;0.0643;0.1965;0.0873;0.0153;
16;0.8702;0.0019;0.0127;0.0036;0.01;
17;0.0576;0.4122;0.0227;0.0127;0.0012;
18;0.0589;0.0852;0.3987;0.2648;0.0249;
19;2e-04;0.63;0.1075;0.0127;0.0651;
20;0.1662;0.1916;0.1182;0.1694;0.0146;
21;0.0417;0.4015;0.0123;0.1195;0.177;
22;0.0016;0.0251;0.4381;0.1084;0.0492;
23;0.2908;0.3021;0.0146;0.0028;0.0229;
24;0.1215;0.1387;0.3102;0.0024;0.0417;
25;0.2058;0.0035;0.4076;0.0071;0.0475;
26;0.6203;0.0267;0.0123;0.0215;0.1682;
27;0.0158;0.3258;0.1359;0.0156;0.0324;
28;0.096;0.1315;0.1286;0.0167;0.1697;
29;0.0629;0.1467;0.0324;1e-04;0.0745;
30;0.4912;0.1667;0.1205;0.034;0.0012;
31;0.2688;0.2736;0.1356;0.0012;0.0299;
32;0.2641;0.5049;0.0457;0.0077;0.0963;
33;0.0083;0.082;0.0076;0.0211;0.1271;
34;0.075;0.2413;0.0867;0.0829;0.2258;
35;0.1251;0.3134;0.0242;0.0188;0.1656;
36;0.3758;0.251;0.015;0.0559;0.0131;
37;0.5644;0.0896;0.1143;0.0456;0.0027;
38;0.2812;0.007;0.0159;9e-04;0.0327;
39;0.0101;0.1882;0.028;0.0334;0.0015;
40;0.2629;0.5527;5e-04;0.0393;1e-04;
41;0.3778;0.0874;0.0089;0.0278;0.102;
42;0.3058;0.3311;0.1421;0.0073;0.0022;
43;0.4375;0.1047;0.1433;0.007;0.0359;
44;6e-04;1e-04;0.3897;0.1715;0.039;
45;0.1605;0.2677;0.0453;0.0723;7e-04;
46;0.3002;0.4426;0.112;0.0326;0.016;
47;0.2795;0.0245;0.021;0.0038;0.019;
48;0.001;0.2955;0.3967;0.0019;0.0107;
49;0.0022;0.1616;0.0668;0.0071;0.198;
50;0.6005;0.1324;0.0199;0.0011;0.0203;
51;0.0759;0.0191;0.0824;0.0574;0.5152;
52;0.0179;0.2422;0.0653;0.002;0.3518;
53;0.0234;0.1679;0.0257;1e-04;0.128;
54;0.0197;0.3831;0.1159;0.0487;0.0324;
55;0.057;0.3858;0.0044;0.1141;0.1814;
56;0.088;0.039;0.2471;0.0128;0.2524;
57;0.4101;0.017;0.022;0.0272;0.0137;
58;0.5995;0.1785;0.0835;6e-04;0.0276;
59;0.0071;0.0555;0.7427;0.0024;0.0337;
60;0.1168;9e-04;0.1581;0.0951;0.1209;
61;0.0089;0.002;0.0216;0.0502;0.4209;
62;0.0048;0.1226;0.0425;0.354;0.135;
63;0.7766;0.0019;0.1403;0.0017;0.026;
64;0.0417;0.0229;7e-04;0.301;0.2416;
65;0.7589;0.0478;0.065;0.0115;0.0034;
66;0.1858;0.449;0.1516;0.0017;0.0055;
67;0.1553;0.2948;0.0171;0.1074;0.0356;
68;0.3017;0.2166;0.0232;0.1645;0.0414;
69;0.1467;0.0446;0.3591;0.0732;0.2368;
70;0.0375;0.0596;0.2945;0.3448;0.1003;
71;0.083;0.0218;0.3708;0.2707;0.0775;
72;0.3375;0.3034;0.0269;0.0477;0.001;
73;0.1327;0.0269;0.2443;0.2771;0.1893;
74;0.0493;0.5348;0.104;0.1304;0.0111;
75;0.6773;0.0034;0.0667;0.0236;0.0654;
76;0.1017;0.2063;0.2401;0.2396;0.1231;
77;0.0034;0.4066;0.0018;0.0421;0.0585;
78;0.0964;0.0721;0.2614;0.2967;0.0097;
79;0.5325;0.0327;0.0029;0.081;0.1657;
80;0.0024;0.4215;0.0092;0.126;0.0087;
81;0.029;0.2371;0.1052;0.0421;0.236;
82;0.5295;0.0817;0.1065;0.024;0.0651;
83;0.7599;0.0042;0.0806;0.0218;0.0224;
84;0.7396;0.001;0.1423;0.0586;0.0057;
85;0.6811;0.0173;0.1129;1e-04;0.0023;
86;0.5169;0.0321;0.0091;0.1203;0.1137;
87;0.705;0.043;0.1164;0.0289;0.0241;
88;0.7626;0.0986;0.0153;5e-04;0.0255;
89;0.3431;0.164;0.1154;0.0508;0.0043;
90;0.7279;0.0453;0.0369;0.031;0.0194;
91;0.3971;0.2872;0.0016;0.0346;0.0368;
92;0.5981;0.1487;0.0012;0.0072;0.0582;
93;0.5761;0.0633;0.0586;0.055;0.0201;
94;0.1578;0.1698;0.0947;0.3317;0.0213;
95;0.7496;5e-04;0.0694;0.0358;0.0172;
96;0.4509;0.0152;0.0048;0.3547;0.0593;
97;0.1038;0.0638;0.0534;0.2122;0.0907;
98;0.4258;0.0221;0.2212;0.1302;0.1057;
99;0.3958;0.032;0.2746;0.1408;0.0311;
100;0.3623;0.1099;0.3224;0.062;0.0053;
101;0.5645;0.1487;0.0074;0.0106;0.1143;
102;0.0867;0.7174;0.0199;0.0287;0.0206;
103;0.0621;0.1838;0.0396;0.2522;0.2579;
104;0.1036;0.2138;0.2966;0.0094;0.013;
105;0.4328;7e-04;0.0821;0.1736;0.0432;
106;0.1953;0;0.1527;0.1603;0.0953;
107;0.2948;0.147;0.1642;0.1113;0.0033;
108;4e-04;0.4569;0.0911;0.0433;0.0591;
109;0.0749;0.3489;0.1202;0.1046;0.0412;
110;0.0309;0.2199;0.3091;0.1391;0.0384;
111;0.479;0.008;0.3351;0.0132;0.0345;
112;0.0058;0.0061;0.641;0.077;0.0128;
113;0.0363;0.0197;0.0634;0.2081;0.2431;
114;0.8667;3e-04;0.0043;0.0061;0.011;
115;0.0016;0.1157;0.5585;0.1536;0.0018;
116;0.1243;0.0023;0.4398;0.0515;0.001;
117;0.115;0.1268;0.2216;0;0.3218;
118;0.0031;0.0798;0.1734;0.2889;0.0091;
119;0.1508;0.5521;0.0758;0.0363;0.0152;
120;0.2888;0.0679;0.0567;0.369;0.0024;
121;0.2571;0.1478;0.3355;0.051;0.0077;
122;0.3318;0.008;0.0438;0.0098;0.0907;
123;0.2377;0.0516;0.2041;0.093;0.0613;
124;6e-04;0.3614;0.0229;0.0624;0.126;
125;0.2948;0.1073;0.003;0.1211;0.2224;
126;0.5173;0.0953;0.1287;0.0219;0.0036;
127;0.6815;0.0621;0.0966;0.0143;0.0278;
128;0.5216;0.2259;1e-04;0.0218;0.0032;
129;0.1857;0.1901;0.0295;0.0468;0.0273;
130;0.1316;0.0184;0.2522;0.1011;0.0391;
131;0.2708;0.1103;0.1401;0.1496;7e-04;
132;0.0694;0.1815;0.4109;0.0603;3e-04;
133;0.1022;0.2225;0.2736;0.0316;0.0416;
134;0.4886;0.0983;0.1265;0.0216;0.0019;
135;0.0278;0.0075;0.7002;0.0094;0.0068;
136;0.0303;0.18;0.3289;0.1248;0.0386;

contrib
   ;Dim.1;Dim.2;Dim.3;Dim.4;Dim.5;
1;1.0108;0.2382;0.0167;0.0143;0.0504;
2;0.7008;0.3638;0.001;0;1e-04;
3;1.5185;0.0145;0.5865;0.0124;0.028;
4;0.0944;2.2568;0.012;0.0063;0.3452;
5;0.0977;3.7055;0.486;0.1596;0.0362;
6;0.0605;2.1553;0.2066;0.324;0.8279;
7;2.1838;5.9056;0.5975;0.0424;2.5917;
8;0.2216;0.8439;0.0031;0.2104;0.0178;
9;0.2819;3.1214;0.0149;0.0134;0.0133;
10;1.3448;0.5499;0.094;0.3068;0.3376;
11;0.0012;1.2642;0.0936;0.6879;0.2233;
12;1.0391;0.8235;0.4866;0.3725;1e-04;
13;0.0366;0.8024;0.3911;2.9078;0.4757;
14;1.1017;0.0353;0.0462;0.0337;0.0435;
15;0.6759;0.2208;0.8273;0.6873;0.153;
16;2.4448;0.0112;0.0938;0.0498;0.1749;
17;0.1421;2.1809;0.1475;0.1546;0.0187;
18;0.1486;0.4605;2.6426;3.2821;0.3923;
19;4e-04;3.4689;0.7257;0.1597;1.0456;
20;0.2987;0.7381;0.5585;1.4961;0.1647;
21;0.0662;1.3645;0.0512;0.9309;1.755;
22;0.0016;0.0556;1.1884;0.5496;0.3178;
23;0.3696;0.8231;0.0488;0.0173;0.1818;
24;0.2218;0.543;1.4891;0.0214;0.4767;
25;0.1943;0.007;1.0109;0.0329;0.2806;
26;0.6825;0.0631;0.0355;0.1163;1.158;
27;0.0093;0.411;0.2102;0.0451;0.1191;
28;0.1094;0.3212;0.3854;0.0935;1.2101;
29;0.1231;0.6153;0.1668;8e-04;0.9123;
30;0.778;0.566;0.5015;0.2645;0.0123;
31;0.5112;1.1158;0.6781;0.0111;0.3557;
32;0.7178;2.9422;0.3266;0.1028;1.6384;
33;0.0045;0.0955;0.0108;0.0563;0.4319;
34;0.0416;0.2871;0.1265;0.2263;0.7841;
35;0.1077;0.5783;0.0547;0.0794;0.8918;
36;0.5538;0.793;0.0581;0.4048;0.1209;
37;0.5059;0.1721;0.2693;0.201;0.0151;
38;0.4356;0.0233;0.0647;0.007;0.317;
39;0.0213;0.8541;0.1556;0.347;0.0202;
40;0.3054;1.3765;0.0015;0.2241;5e-04;
41;0.1412;0.07;0.0088;0.0511;0.2384;
42;0.711;1.6502;0.8684;0.0833;0.0318;
43;0.9482;0.4863;0.8162;0.0746;0.4866;
44;0.0024;0.0011;3.8663;3.1817;0.9209;
45;0.1751;0.6263;0.1298;0.3876;0.0045;
46;0.342;1.0808;0.3353;0.1825;0.1141;
47;0.6626;0.1244;0.1306;0.0438;0.2811;
48;0.0035;2.1035;3.4627;0.0312;0.2223;
49;0.0036;0.5824;0.295;0.0587;2.0821;
50;1.2234;0.5782;0.1064;0.0109;0.2584;
51;0.1075;0.058;0.3069;0.4;4.5671;
52;0.036;1.0471;0.3461;0.0195;4.4387;
53;0.0211;0.3246;0.0608;6e-04;0.7223;
54;0.0236;0.9856;0.3656;0.2872;0.2433;
55;0.0511;0.7409;0.0104;0.5022;1.0168;
56;0.1532;0.1454;1.1307;0.1092;2.7488;
57;0.7068;0.0628;0.0998;0.2303;0.1479;
58;2.7633;1.7638;1.0111;0.0125;0.7953;
59;0.0201;0.3351;5.4992;0.0333;0.5943;
60;0.1014;0.0016;0.3609;0.4058;0.6571;
61;0.0089;0.0044;0.0573;0.249;2.6594;
62;0.0059;0.3227;0.137;2.1365;1.0371;
63;1.718;0.0092;0.8156;0.0181;0.3592;
64;0.0424;0.0499;0.0017;1.5025;1.5353;
65;1.3944;0.1885;0.314;0.1036;0.0394;
66;0.588;3.0468;1.2612;0.0268;0.1093;
67;0.2175;0.8852;0.0631;0.7395;0.3122;
68;0.4826;0.7428;0.0974;1.293;0.4144;
69;0.8524;0.5548;5.4819;2.09;8.6046;
70;0.0401;0.1367;0.8272;1.811;0.6708;
71;0.1335;0.0752;1.5674;2.1396;0.7802;
72;0.3427;0.6605;0.0718;0.2381;0.0063;
73;0.229;0.0995;1.1082;2.3501;2.0438;
74;0.0967;2.2473;0.5356;1.2561;0.1364;
75;0.9845;0.0105;0.2547;0.1687;0.595;
76;0.0897;0.3898;0.5561;1.0377;0.6789;
77;0.0028;0.711;0.0039;0.1688;0.2985;
78;0.199;0.3188;1.4174;3.0081;0.1249;
79;0.7849;0.1034;0.0113;0.587;1.5278;
80;0.005;1.861;0.0499;1.2752;0.1121;
81;0.0449;0.7866;0.4281;0.3201;2.285;
82;2.5503;0.8438;1.3486;0.5691;1.9613;
83;3.5968;0.0424;1.0023;0.5075;0.6629;
84;4.9024;0.0141;2.4792;1.9084;0.2374;
85;1.9083;0.104;0.831;9e-04;0.04;
86;1.7719;0.2362;0.0822;2.0259;2.4376;
87;6.1104;0.7988;2.6524;1.2329;1.3093;
88;4.0402;1.1196;0.2124;0.012;0.8439;
89;0.89;0.9119;0.7869;0.6473;0.0694;
90;6.9355;0.9263;0.9242;1.4526;1.1556;
91;0.8769;1.3594;0.0091;0.3757;0.5087;
92;2.5395;1.3532;0.0137;0.1512;1.547;
93;2.2738;0.5358;0.6079;1.0667;0.4967;
94;0.1552;0.3581;0.2448;1.6034;0.1313;
95;5.2347;0.0068;1.2741;1.2282;0.7506;
96;1.2488;0.09;0.0349;4.8273;1.0267;
97;0.1916;0.2523;0.259;1.9255;1.0475;
98;0.7432;0.0825;1.0147;1.117;1.1538;
99;2.2836;0.3959;4.1648;3.9936;1.123;
100;0.403;0.2621;0.9424;0.339;0.037;
101;0.6168;0.3484;0.0212;0.057;0.781;
102;0.2545;4.516;0.1536;0.4148;0.3782;
103;0.2045;1.2988;0.3427;4.0836;5.3174;
104;0.088;0.3894;0.6624;0.0392;0.0694;
105;0.3897;0.0014;0.1943;0.7684;0.2436;
106;0.2393;0;0.4918;0.9658;0.7311;
107;1.5726;1.6806;2.3025;2.9188;0.1098;
108;4e-04;1.0106;0.247;0.2195;0.3813;
109;0.0949;0.9475;0.4001;0.651;0.3265;
110;0.0683;1.043;1.7975;1.5128;0.5321;
111;0.7333;0.0263;1.3484;0.0992;0.33;
112;0.0056;0.0126;1.6239;0.3646;0.077;
